EXEDATE,STATUS,WeekDay,Special,Day Weight
5/7/2019,,Tuesday,,
5/8/2019,,Wednesday,,
5/9/2019,,Thursday,,
5/10/2019,,Friday,,
5/11/2019,,Saturday,,
5/12/2019,,Sunday,,
5/13/2019,,Monday,,
5/14/2019,,Tuesday,,
5/15/2019,,Wednesday,,
5/16/2019,,Thursday,,
5/17/2019,,Friday,,
5/18/2019,,Saturday,,
5/19/2019,,Sunday,,
5/20/2019,,Monday,,
5/21/2019,,Tuesday,,
5/22/2019,,Wednesday,,
5/23/2019,,Thursday,,
5/24/2019,,Friday,,
5/25/2019,,Saturday,,
5/26/2019,,Sunday,,
5/27/2019,,Monday,,
5/28/2019,,Tuesday,,
5/29/2019,,Wednesday,,
5/30/2019,,Thursday,,
5/31/2019,,Friday,,
6/1/2019,,Saturday,,
6/2/2019,,Sunday,,
6/3/2019,,Monday,,
6/4/2019,,Tuesday,,
6/5/2019,,Wednesday,,
6/6/2019,,Thursday,,
6/7/2019,,Friday,,
6/8/2019,,Saturday,,
6/9/2019,,Sunday,,
6/10/2019,,Monday,,
6/11/2019,,Tuesday,,
6/12/2019,,Wednesday,,
6/13/2019,,Thursday,,
6/14/2019,,Friday,,
6/15/2019,,Saturday,,
6/16/2019,,Sunday,,
6/17/2019,,Monday,,
6/18/2019,,Tuesday,,
6/19/2019,,Wednesday,,
6/20/2019,,Thursday,,
6/21/2019,,Friday,,
6/22/2019,,Saturday,,
6/23/2019,,Sunday,,
6/24/2019,,Monday,,
6/25/2019,,Tuesday,,
6/26/2019,,Wednesday,,
6/27/2019,,Thursday,,
6/28/2019,,Friday,,
6/29/2019,,Saturday,,
6/30/2019,,Sunday,,
7/1/2019,,Monday,,
7/2/2019,,Tuesday,,
7/3/2019,,Wednesday,,
7/4/2019,,Thursday,,
7/5/2019,,Friday,,
7/6/2019,,Saturday,,
7/7/2019,,Sunday,,
7/8/2019,,Monday,,
7/9/2019,,Tuesday,,
7/10/2019,,Wednesday,,
7/11/2019,,Thursday,,
7/12/2019,,Friday,,
7/13/2019,,Saturday,,
7/14/2019,,Sunday,Independence Day,
7/15/2019,,Monday,,
7/16/2019,,Tuesday,,
7/17/2019,,Wednesday,,
7/18/2019,,Thursday,,
7/19/2019,,Friday,,
7/20/2019,,Saturday,,
7/21/2019,,Sunday,,
7/22/2019,,Monday,,
7/23/2019,,Tuesday,,
7/24/2019,,Wednesday,,
7/25/2019,,Thursday,,
7/26/2019,,Friday,,
7/27/2019,,Saturday,,
7/28/2019,,Sunday,,
7/29/2019,,Monday,,
7/30/2019,,Tuesday,,
7/31/2019,,Wednesday,,
8/1/2019,,Thursday,,
8/2/2019,,Friday,,
8/3/2019,,Saturday,,
8/4/2019,,Sunday,,
8/5/2019,,Monday,,
8/6/2019,,Tuesday,,
8/7/2019,,Wednesday,,
8/8/2019,,Thursday,,
8/9/2019,,Friday,,
8/10/2019,,Saturday,,
8/11/2019,,Sunday,,
8/12/2019,,Monday,,
8/13/2019,,Tuesday,,
8/14/2019,,Wednesday,,
8/15/2019,,Thursday,,
8/16/2019,,Friday,,
8/17/2019,,Saturday,,
8/18/2019,,Sunday,,
8/19/2019,,Monday,,
8/20/2019,,Tuesday,,
8/21/2019,,Wednesday,,
8/22/2019,,Thursday,,
8/23/2019,,Friday,,
8/24/2019,,Saturday,,
8/25/2019,,Sunday,,
8/26/2019,,Monday,,
8/27/2019,,Tuesday,,
8/28/2019,,Wednesday,,
8/29/2019,,Thursday,,
8/30/2019,,Friday,,
8/31/2019,,Saturday,,
9/1/2019,,Sunday,,
9/2/2019,,Monday,,
9/3/2019,,Tuesday,,
9/4/2019,,Wednesday,,
9/5/2019,,Thursday,,
9/6/2019,,Friday,,
9/7/2019,,Saturday,,
9/8/2019,,Sunday,,
9/9/2019,,Monday,,
9/10/2019,,Tuesday,,
9/11/2019,,Wednesday,,
9/12/2019,,Thursday,,
9/13/2019,,Friday,,
9/14/2019,,Saturday,,
9/15/2019,,Sunday,,
9/16/2019,,Monday,,
9/17/2019,,Tuesday,,
9/18/2019,,Wednesday,,
9/19/2019,,Thursday,,
9/20/2019,,Friday,,
9/21/2019,,Saturday,,
9/22/2019,,Sunday,,
9/23/2019,,Monday,,
9/24/2019,,Tuesday,,
9/25/2019,,Wednesday,,
9/26/2019,,Thursday,,
9/27/2019,,Friday,,
9/28/2019,,Saturday,,
9/29/2019,,Sunday,,
9/30/2019,,Monday,,
10/1/2019,,Tuesday,,
10/2/2019,,Wednesday,,
10/3/2019,,Thursday,,
10/4/2019,,Friday,,
10/5/2019,,Saturday,,
10/6/2019,,Sunday,,
10/7/2019,,Monday,,
10/8/2019,,Tuesday,,
10/9/2019,,Wednesday,,
10/10/2019,,Thursday,,
10/11/2019,,Friday,,
10/12/2019,,Saturday,,
10/13/2019,,Sunday,,
10/14/2019,,Monday,,
10/15/2019,,Tuesday,,
10/16/2019,,Wednesday,,
10/17/2019,,Thursday,,
10/18/2019,,Friday,,
10/19/2019,,Saturday,,
10/20/2019,,Sunday,,
10/21/2019,,Monday,,
10/22/2019,,Tuesday,,
10/23/2019,,Wednesday,,
10/24/2019,,Thursday,,
10/25/2019,,Friday,,
10/26/2019,,Saturday,,
10/27/2019,,Sunday,,
10/28/2019,,Monday,,
10/29/2019,,Tuesday,,
10/30/2019,,Wednesday,,
10/31/2019,,Thursday,Haloween,
11/1/2019,,Friday,,
11/2/2019,,Saturday,,
11/3/2019,,Sunday,,
11/4/2019,,Monday,,
11/5/2019,,Tuesday,,
11/6/2019,,Wednesday,,
11/7/2019,,Thursday,,
11/8/2019,,Friday,,
11/9/2019,,Saturday,,
11/10/2019,,Sunday,,
11/11/2019,,Monday,,
11/12/2019,,Tuesday,,
11/13/2019,,Wednesday,,
11/14/2019,,Thursday,,
11/15/2019,,Friday,,
11/16/2019,,Saturday,,
11/17/2019,,Sunday,,
11/18/2019,,Monday,,
11/19/2019,,Tuesday,,
11/20/2019,,Wednesday,,
11/21/2019,,Thursday,,
11/22/2019,,Friday,,
11/23/2019,,Saturday,,
11/24/2019,,Sunday,,
11/25/2019,,Monday,,
11/26/2019,,Tuesday,,
11/27/2019,,Wednesday,,
11/28/2019,,Thursday,Thanksgiving Week,
11/29/2019,,Friday,Thanksgiving Week,
11/30/2019,,Saturday,Thanksgiving Week,
12/1/2019,,Sunday,Thanksgiving Week,
12/2/2019,,Monday,Thanksgiving Week,
12/3/2019,,Tuesday,,
12/4/2019,,Wednesday,,
12/5/2019,,Thursday,,
12/6/2019,,Friday,,
12/7/2019,,Saturday,,
12/8/2019,,Sunday,,
12/9/2019,,Monday,,
12/10/2019,,Tuesday,,
12/11/2019,,Wednesday,,
12/12/2019,,Thursday,,
12/13/2019,,Friday,,
12/14/2019,,Saturday,,
12/15/2019,,Sunday,,
12/16/2019,,Monday,,
12/17/2019,,Tuesday,,
12/18/2019,,Wednesday,,
12/19/2019,,Thursday,,
12/20/2019,,Friday,,
12/21/2019,,Saturday,,
12/22/2019,,Sunday,,
12/23/2019,,Monday,,
12/24/2019,,Tuesday,Christmas,
12/25/2019,,Wednesday,Christmas,
12/26/2019,,Thursday,,
12/27/2019,,Friday,,
12/28/2019,,Saturday,,
12/29/2019,,Sunday,,
12/30/2019,,Monday,,
12/31/2019,,Tuesday,,
